204.655167,316.137909,203.7870017,305.042182
205.06897,317.327606,203.5422281,306.319624
205.659805,318.484528,203.9385987,307.347086
预测坐标,,实际坐标（视频读取）,
x,y,x,y
206.02063,319.546387,204.2461686,308.2090069
206.512177,320.609711,204.9916552,309.7765703
207.044388,321.693176,205.2346227,310.2907178
207.640335,322.897797,205.9439926,311.7483725
208.000031,324,212.2951482,310.168574
208.700012,325.400024,211.8354791,311.8656501
209.000046,326.500031,212.5764816,313.058379
209.683273,327.460541,213.2807469,314.3075451
210.414001,328.592346,213.8475947,315.132395
211.063339,329.684509,214.2737122,316.0542441
211.66156,330.907684,214.7441852,317.483202
212.357529,332.041473,215.4079812,318.7097642
212.941177,333.235291,216.2788915,319.8894142
213.617661,334.529449,217.0301158,320.8980861
214.25322,335.536469,217.9109182,322.2529305
215.007935,336.67923,212.7144526,326.7236592
215.615372,337.923096,213.947938,327.9999573
216.615387,338.923065,209.1283534,332.7434715
217.153824,340.230743,209.9668736,334.3171277
218.177063,341.442047,220.283432,330.1913549
219.021667,342.593628,220.9108764,331.964084
219.886505,343.718903,221.9364917,333.5127368
220.605423,344.919617,222.8765467,335.1179291
221.475845,346.018616,224.0564686,336.8414979
222.345749,347.349487,225.09641,338.4214916
223.268295,348.585358,224.977853,341.219316
224.297028,349.529694,226.5708191,342.6237094
225.122375,350.781036,226.724367,345.3972926
226.247055,351.788269,228.6665748,346.7213999
227.068954,352.827606,230.2074415,348.4299625
227.967407,354.141968,231.6552997,350.1390018
229.142975,355.279633,233.0351248,352.2691072
230.2556,356.610229,234.5631179,354.2032395
231.750046,357.750031,236.3121432,355.9631703
232.750031,358.750031,238.1107208,357.9355844
234,360,239.8473003,359.6903843
235.250031,361.250031,241.8842694,361.559253
236.366043,362.918854,244.045821,363.1683133
237.672562,364.088501,245.9220654,364.9699859
239.094131,365.223541,248.0654174,366.621288
240.483597,366.319641,249.5348749,369.2760659
241.975388,367.729492,251.9277782,370.7019092
243.219498,368.975647,254.1590058,372.1355254
244.892334,370.138458,255.9697107,374.3476023
246.339996,371.380005,258.1853012,376.3508637
247.860001,372.519989,260.9371414,377.1488795
249.445953,373.67569,264.1468251,377.1278375
251.153839,374.769196,265.6355396,379.461926
252.615372,376.076874,268.1510797,381.4979412
254.258041,377.106781,270.7483186,382.3597419
256.152924,378.188232,273.1906241,383.5223702
257.76828,379.380707,275.593425,384.7448113
259.657867,380.389862,278.4003687,385.7032687
261.409302,381.570709,280.851546,386.8520314
263.261139,382.687866,283.891969,386.7550271
265.197235,383.61795,286.0416533,388.8554312
267.300049,384.900055,288.9836949,389.0854911
269.400024,386.200012,291.7907702,388.8154472
271.675262,386.855682,294.2761943,389.6217878
273.442963,387.708618,296.7650883,390.3195655
275.341187,388.564728,299.2695506,391.0975089
277.618561,389.391724,301.6416098,391.5774683
279.801331,390.363007,304.1747647,392.0536831
282.119995,391.160004,306.4664154,393.3385716
284.450043,392.150024,308.8209025,393.1825117
286.859436,392.956787,311.5464743,393.6089689
289.371552,393.761475,313.8528112,393.9494411
292.008301,394.468872,316.0412101,394.0758823
294.588257,395.147095,318.3689475,394.3287869
297.152924,395.811798,320.4403725,395.7969889
299.835571,396.281189,322.5787286,396.0478505
302.719208,396.864197,324.7199694,396.1797839
305.500031,397.500031,326.9023722,396.1384046
308.327515,398.043671,329.0585942,396.3251084
311.128754,398.276703,331.0248166,396.3626029
314.280914,398.550598,333.0865832,396.3196643
317.058777,398.735291,335.03069,396.0960799
320,399,336.9903383,396.1412989
323.5,399,338.8236603,396.0087457
327,399,340.724808,396.0239337
329.5,399,342.4735785,395.842254
333,399,344.2921835,395.6251546
337,400,346.1628665,395.2948168
339.552063,398.994537,347.8359825,395.1177673
342.828033,398.667358,349.7917551,394.7318875
345.644287,398.348969,351.536643,394.5012473
348.889282,397.872498,353.3058763,394.1178172
351.875458,397.335846,355.154308,393.8942848
355.164673,396.741211,356.9816868,393.5425196
358.360718,396.032776,358.8070348,392.9839457
361.427399,395.352692,360.5978226,392.5198779
364.5849,394.547119,362.4350896,392.0422081
367.800018,393.399963,364.388876,391.5358365
370.669464,392.549774,366.3675319,390.8817887
373.613464,391.494873,368.4558948,390.4278415
376.793091,390.482758,370.5125377,389.7110546
379.494843,389.113403,372.5366931,388.78564
382.35907,387.902313,374.4659471,387.9715005
385.100067,386.700043,376.5482189,387.1604587
387.862213,385.388275,378.7356133,386.4008275
390.423889,384.107269,380.8590794,385.4364503
393.619171,382.347137,383.0054318,384.5264682
396.485291,380.808838,385.1602326,383.5162476
399.054474,379.085114,387.4666141,382.5054966
401.699982,377.400024,389.7271465,381.3447436
404.151031,375.644318,391.8606568,380.0932916
406.700012,374.100006,394.0340948,378.86877
409.16153,372.207703,396.3402482,377.6942243
411.519836,370.302002,398.4844281,376.3097641
413.836029,368.303284,400.6736815,374.7871385
416.270782,366.356384,402.9547353,373.5527316
418.31134,364.33963,405.1608514,372.0177324
420.500031,362.5,407.2689684,370.240351
422.73587,360.699097,409.3823195,368.5150989
424.773163,358.329071,411.6613137,367.1040641
426.850861,356.16571,413.751879,365.1547948
428.717682,353.829407,415.9859735,363.7200267
430.57373,351.811462,417.8240596,361.4910342
432.53476,349.455811,419.9147108,359.6732011
434.119995,347.340027,421.7008484,357.5795543
435.922821,344.895996,423.6852429,355.4763319
437.677673,342.467316,425.676693,353.4483355
439.461517,340.307678,427.5222077,351.3925996
440.779388,337.867645,429.3697945,349.163655
442.246185,335.569244,431.5073895,347.3935404
443.67511,333.09552,433.0027207,344.7392268
